Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use,Missed_Important_Sounds_clean,Interest_in_Hearing_App_clean,Last_Hearing_Test_Method_clean,Paid_App_Test_Interest_clean
Staying connected with the world,Sometimes,"Lack of awareness, ","I'm not sure, but I have felt disconnected",Sometimes,1-2 hours,3,Online test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Maybe,Maybe,Self-tested,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,Less than 1 hour,5,At a hospital or clinic,"Yes, that would be helpful","Game-based interaction, Regular testing reminders, Audio amplifier or sound booster",No,"No, I prefer getting tested at a hospital",18 - 24,No,Maybe,Yes,Clinically-tested,No
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Sometimes,1-2 hours,5,Mobile app,"Maybe, if it's easy to use",Game-based interaction,No,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Self-tested,Maybe
Staying connected with the world,Rarely,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,1,At a hospital or clinic,"No, I don't think it's necessary",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,No,Clinically-tested,No
"Enjoying music, laughter, and life",Sometimes,Shame,"Yes, during important work or school meetings",Sometimes,1-2 hours,1,Online test,"Maybe, if it's easy to use",Regular testing reminders,Yes,"Maybe, if it offers good value",25 - 34,Yes,Yes,Maybe,Self-tested,Maybe
Staying connected with the world,Rarely,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,No,Maybe,Never,No
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation",No,"Maybe, if it offers good value",25 - 34,No,No,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Never,No
I haven't thought about it much,Sometimes,Cost,"I'm not sure, but I have felt disconnected",Sometimes,1-2 hours,4,Online test,"Maybe, if it's easy to use",Soft guidance,Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Maybe,Self-tested,Maybe
I haven't thought about it much,Never,I don't have a hearing problem ,"No, I usually hear things well",Never,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Yes often,Fear,"Yes, in family conversations",Sometimes,More than 4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,No,Never,No
Staying independent and alert,Never,My hearing is good ðŸ¤·â€â™‚ï¸,"No, I usually hear things well",Never,2-4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,No,Never,No
Staying independent and alert,Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Maybe,Maybe,Never,No
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Doctor consultation, Personalized volume adjustments",No,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert",Never,Cost,"Yes, during important work or school meetings","Yes, often",2-4 hours,2,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
Feeling close to loved ones,Yes often,Shame,"Yes, in public spaces (trains, shops, announcements)","Yes, often",Less than 1 hour,2,Online test,"Maybe, if it's easy to use",Personalized volume adjustments,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Self-tested,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Not sure,Maybe,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Rarely,,"Yes, in family conversations",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Yes,Maybe,Never,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in family conversations",Sometimes,1-2 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Game-based interaction, Earphone calibration, Regular testing reminders",No,"Maybe, if it offers good value",18 - 24,Not sure,Yes,Yes,Never,Maybe
I haven't thought about it much,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,4,I've never taken a hearing test,"Yes, that would be helpful","Game-based interaction, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary",Report sharing options,No,"No, I prefer getting tested at a hospital",45 - 54,No,Yes,No,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Yes,Maybe,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Cost, Lack of awareness","I'm not sure, but I have felt disconnected",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Not sure,Maybe,Maybe,Never,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"Yes, in family conversations",Never,1-2 hours,3,I've never taken a hearing test,"No, I don't think it's necessary",IDK,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,No,Never,No
I haven't thought about it much,Never,Lack of awareness,"Yes, in family conversations",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Doctor consultation, Personalized volume adjustments",No,"Maybe, if it offers good value",25 - 34,Occasionally,Yes,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Yes often,Fear,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Yes,Never,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Shame,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Regular testing reminders, Doctor consultation, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Never,Maybe
Staying connected with the world,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Yes,Never,Maybe
Staying independent and alert,Sometimes,Shame,"Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,5,Mobile app,"Maybe, if it's easy to use",Doctor consultation,No,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Self-tested,Maybe
Staying independent and alert,Yes often,Lack of awareness,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Yes,Never,Maybe
I haven't thought about it much,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",I try to avoid such situations,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,Maybe,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Shame,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Doctor consultation, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Never,Maybe
I haven't thought about it much,Never,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,More than 4 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Never,No
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Doctor consultation, Audio amplifier or sound booster",Yes,"Yes, definitely",18 - 24,Yes,No,Yes,Never,Yes
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,"Lack of awareness, Also, I haven't had the need to, yet",When with friends anol,Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",Under 18,Yes,No,Yes,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life",Sometimes,Lack of awareness,"No, I usually hear things well",Sometimes,More than 4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
I haven't thought about it much,Yes often,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,2-4 hours,3,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Soft guidance",No,"Maybe, if it offers good value",18 - 24,No,Maybe,No,Never,Maybe
I haven't thought about it much,Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in family conversations",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Never,Maybe
"Staying independent and alert, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Staying independent and alert, Staying connected with the world",Yes often,"Cost, Lack of awareness","I'm not sure, but I have felt disconnected",Sometimes,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,Maybe,Yes,Never,Maybe
Feeling close to loved ones,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Detailed report generation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Yes,Never,Maybe
Staying connected with the world,Rarely,Not finding any difficulties now,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Personalized volume adjustments, Soft guidance, Report sharing options",No,"No, I prefer getting tested at a hospital",45 - 54,Occasionally,No,Maybe,Never,No
I haven't thought about it much,Rarely,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,1,I've never taken a hearing test,"No, I don't think it's necessary","Game-based interaction, Regular testing reminders, Doctor consultation, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,No,No,No,Never,No
"Enjoying music, laughter, and life",Yes often,Lack of awareness,"No, I usually hear things well",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use",Detailed report generation,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,No,Maybe,Never,No
Staying connected with the world,Sometimes,"Lack of awareness, ","Yes, during important work or school meetings",Sometimes,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use",Soft guidance,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Never,No
Feeling close to loved ones,Never,Na,"Yes, in public spaces (trains, shops, announcements)",Never,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Detailed report generation, Audio amplifier or sound booster",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Clinically-tested,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,2-4 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Yes,Maybe,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Never,Not required,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"Yes, definitely",55 - 64,No,No,Yes,Never,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Never,"Cost, Lack of awareness","I'm not sure, but I have felt disconnected",Only in noisy places,More than 4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Report sharing options",No,"Maybe, if it offers good value",18 - 24,No,Maybe,Yes,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, during important work or school meetings",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Never,Maybe
Staying independent and alert,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,2-4 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Maybe,Maybe,Never,No
"Enjoying music, laughter, and life",Sometimes,Fear,"Yes, during important work or school meetings",Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Never,No hearing issues,"No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments",No,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,1-2 hours,4,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Regular testing reminders, Doctor consultation, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Not sure,No,No,Never,Maybe
Staying connected with the world,Sometimes,Shame,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"Yes, definitely",18 - 24,Occasionally,Yes,Maybe,Never,Yes
"Enjoying music, laughter, and life",Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,1,I've never taken a hearing test,"No, I don't think it's necessary",Regular testing reminders,Yes,"Maybe, if it offers good value",55 - 64,No,No,No,Never,Maybe
"Enjoying music, laughter, and life",Sometimes,"Fear, Lack of awareness","Yes, in family conversations",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",35 - 44,No,Yes,Yes,Never,Maybe
Staying connected with the world,Never,I don't have problem in hearing.,"No, I usually hear things well",Never,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary",Soft guidance,Yes,"No, I prefer getting tested at a hospital",25 - 34,No,No,No,Never,No
Staying connected with the world,Yes often,Fear,"I'm not sure, but I have felt disconnected",Sometimes,1-2 hours,1,At a hospital or clinic,"Maybe, if it's easy to use",Game-based interaction,Yes,"Maybe, if it offers good value",Under 18,Occasionally,Maybe,Maybe,Clinically-tested,Maybe
I haven't thought about it much,Never,Lack of awareness,"I'm not sure, but I have felt disconnected",I try to avoid such situations,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",45 - 54,Yes,Maybe,Maybe,Never,No
Feeling close to loved ones,Rarely,Lack of awareness,"Yes, in family conversations",Never,2-4 hours,5,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Soft guidance",Yes,"Maybe, if it offers good value",Under 18,No,Yes,Maybe,Clinically-tested,Maybe
"Feeling close to loved ones, Staying independent and alert",Yes often,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Never,I have good hearing ,"No, I usually hear things well",Never,1-2 hours,4,I've never taken a hearing test,"No, I don't think it's necessary",Soft guidance,No,"No, I prefer getting tested at a hospital",18 - 24,No,No,No,Never,No
Feeling close to loved ones,Yes often,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use",Quick tests,No,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Clinically-tested,Maybe
"Enjoying music, laughter, and life",Sometimes,Fear,"Yes, in family conversations",Sometimes,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Yes,Never,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,2,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Yes,Never,No
Feeling close to loved ones,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,1,I've never taken a hearing test,"No, I don't think it's necessary",Game-based interaction,No,"Maybe, if it offers good value",25 - 34,No,No,No,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",I try to avoid such situations,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Yes,Maybe,Never,No
Staying independent and alert,Never,Fear,"No, I usually hear things well",I try to avoid such situations,Less than 1 hour,4,I've never taken a hearing test,"No, I don't think it's necessary",Soft guidance,Yes,"No, I prefer getting tested at a hospital",35 - 44,No,No,No,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,More than 4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Maybe,Maybe,Never,No
Staying independent and alert,Sometimes,Fear,"No, I usually hear things well",Sometimes,1-2 hours,3,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Yes,Never,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Doctor consultation, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",35 - 44,Occasionally,Maybe,Maybe,Never,Maybe
Staying connected with the world,Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Earphone calibration, Doctor consultation, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,No,Maybe,No,Never,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,i didnt feel like there is any change,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","I couldnt pick a feature because i am not a target audience for any of the above mentioned features, I could give you guys a tip though. I personally think this product will do well gloabally, especially in developed countries. Lets take us people, they spend 100s of dollars on their dental check. If you could convince that crowd to somehow use this and regularly monitor their ear health, they will be ready to pay so i suggest you target that crowd and build features surrounding it. ",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,No,Maybe,Never,No
Feeling close to loved ones,Sometimes,Fear,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"No, I don't think it's necessary","Earphone calibration, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,No,Never,No
I haven't thought about it much,Never,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Detailed report generation, Soft guidance",Yes,"Yes, definitely",18 - 24,Occasionally,Yes,Maybe,Never,Yes
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,1-2 hours,3,I've never taken a hearing test,"No, I don't think it's necessary","Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,No,Maybe,No,Never,Maybe
Staying connected with the world,Sometimes,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure,No,Maybe,Never,No
Feeling close to loved ones,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Earphone calibration, Regular testing reminders, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Audio amplifier or sound booster",No,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Maybe,Never,No
"Staying independent and alert, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,Yes,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
